iter	RMSE
0	12.86917357
1	12.33262509
2	11.82271419
3	11.34447885
4	10.88898571
5	10.46117364
6	10.05599604
7	9.674480582
8	9.31826868
9	8.982140908
10	8.665115889
11	8.367337299
12	8.085759088
13	7.823153976
14	7.576373373
15	7.344908606
16	7.126999524
17	6.924551211
18	6.734590263
19	6.553041391
20	6.387600493
21	6.234074195
22	6.089659206
23	5.953897963
24	5.825831333
25	5.708421939
26	5.598358287
27	5.49118975
28	5.393747835
29	5.304696629
30	5.221657197
31	5.145673132
32	5.07062526
33	5.004561914
34	4.939866703
35	4.882759887
36	4.828429228
37	4.776252973
38	4.730449612
39	4.684608285
40	4.645301197
41	4.606127667
42	4.571861078
43	4.537395628
44	4.503600452
45	4.476191487
46	4.448245635
47	4.422405846
48	4.397680395
49	4.377178349
50	4.356767492
51	4.338935557
52	4.320099082
53	4.30347491
54	4.288774306
55	4.273639486
56	4.260844756
57	4.246787672
58	4.234142449
59	4.221459248
60	4.211296274
61	4.200295817
62	4.190505947
63	4.180919913
64	4.172548676
65	4.164071753
66	4.157038477
67	4.150240505
68	4.144085952
69	4.138085053
70	4.131978587
71	4.125883543
72	4.121508135
73	4.116066771
74	4.110967682
75	4.106546893
76	4.101729188
77	4.097085492
78	4.092402701
79	4.088192342
80	4.084189331
81	4.080712852
82	4.078229604
83	4.074775464
84	4.071429718
85	4.068176058
86	4.066096913
87	4.063651184
88	4.061290429
89	4.058770031
90	4.057113034
91	4.054230425
92	4.051723083
93	4.049810716
94	4.047398861
95	4.045755311
96	4.043592333
97	4.041352304
98	4.039552745
99	4.036768242
100	4.034512399
101	4.032943439
102	4.031860648
103	4.030630432
104	4.029030214
105	4.027823621
106	4.025510096
107	4.023901323
108	4.022294918
109	4.020874369
110	4.017771886
111	4.015720775
112	4.014593072
113	4.012171918
114	4.011275357
115	4.009850476
116	4.008515208
117	4.0069105
118	4.005682344
119	4.004772599
120	4.002737656
121	4.001405745
122	4.000839626
123	3.999396422
124	3.998468958
125	3.996844504
126	3.995654414
127	3.994467162
128	3.993731886
129	3.992352291
130	3.990990528
131	3.990050373
132	3.988564604
133	3.987544431
134	3.986376839
135	3.985589634
136	3.984910153
137	3.98444545
138	3.983183344
139	3.981057399
140	3.980284183
141	3.979559915
142	3.978030238
143	3.976872907
144	3.975904539
145	3.974466995
146	3.973636829
147	3.973092112
148	3.972624593
149	3.972202927
150	3.971489343
151	3.970692973
152	3.969500162
153	3.968020222
154	3.966801713
155	3.965885841
156	3.965323169
157	3.964011233
158	3.963484992
159	3.96223106
160	3.961368214
161	3.960270776
162	3.958979206
163	3.958481589
164	3.9569282
165	3.956224766
166	3.954908391
167	3.954528528
168	3.953430738
169	3.952494578
170	3.952045319
171	3.950933913
172	3.950092547
173	3.948825063
174	3.947608291
175	3.946488177
176	3.945500173
177	3.944894516
178	3.94428766
179	3.943429757
180	3.942717363
181	3.941696966
182	3.940077832
183	3.939032748
184	3.938186725
185	3.937381258
186	3.936589373
187	3.935797451
188	3.934881636
189	3.933942519
190	3.933416273
191	3.932289655
192	3.9313105
193	3.930359752
194	3.929430099
195	3.928596609
196	3.927546767
197	3.926890761
198	3.925621361
199	3.924959391
200	3.924166112
201	3.923786119
202	3.922754115
203	3.922144613
204	3.92136992
205	3.920822455
206	3.920206536
207	3.919554777
208	3.918961912
209	3.918473599
210	3.91798926
211	3.91701495
212	3.915900375
213	3.91499393
214	3.914441215
215	3.914082472
216	3.913518239
217	3.912565714
218	3.911222826
219	3.91059733
220	3.910137043
221	3.909434788
222	3.908092358
223	3.907447155
224	3.907030944
225	3.906332802
226	3.905615861
227	3.904879674
228	3.904110825
229	3.903343844
230	3.902838334
231	3.902106662
232	3.901444677
233	3.900345615
234	3.8997074
235	3.898851226
236	3.898060611
237	3.897369593
238	3.896606665
239	3.895976422
240	3.895373675
241	3.894893003
242	3.893989463
243	3.893524721
244	3.892893777
245	3.892358701
246	3.891097263
247	3.890469031
248	3.889702823
249	3.888642609
250	3.888039352
251	3.887306069
252	3.886430554
253	3.886045673
254	3.88555742
255	3.885046577
256	3.884473614
257	3.883989965
258	3.883571377
259	3.883046486
260	3.882131891
261	3.88169756
262	3.881214893
263	3.880249144
264	3.879522853
265	3.878436957
266	3.878042179
267	3.877583774
268	3.877017088
269	3.876478152
270	3.876017336
271	3.875687425
272	3.874925127
273	3.87438824
274	3.873726817
275	3.873257963
276	3.872763411
277	3.871888366
278	3.871316979
279	3.870652137
280	3.870168737
281	3.869821089
282	3.869554504
283	3.868753605
284	3.868352048
285	3.867249394
286	3.866803464
287	3.866509654
288	3.866090311
289	3.865669238
290	3.865222124
291	3.864734209
292	3.864076128
293	3.863695466
294	3.862841711
295	3.862392875
296	3.861984097
297	3.861606407
298	3.861150106
299	3.860205088
300	3.859817154
301	3.859099671
302	3.858635345
303	3.858190299
304	3.857831802
305	3.857368656
306	3.856830828
307	3.855890596
308	3.855608634
309	3.855188343
310	3.854417334
311	3.853904187
312	3.853527257
313	3.85297207
314	3.852403376
315	3.852064526
316	3.851520702
317	3.850834546
318	3.85037717
319	3.849882473
320	3.84947153
321	3.848549008
322	3.847869371
323	3.847380254
324	3.84697206
325	3.846570628
326	3.84614849
327	3.845613655
328	3.844947689
329	3.84419927
330	3.843552093
331	3.843066228
332	3.842675488
333	3.842165067
334	3.841112825
335	3.840821328
336	3.840122468
337	3.839296194
338	3.838468768
339	3.838004704
340	3.837513807
341	3.836563276
342	3.835952819
343	3.835567282
344	3.835011763
345	3.834520289
346	3.834116018
347	3.833678044
348	3.832870384
349	3.831918511
350	3.831265115
351	3.830934025
352	3.830699415
353	3.830237682
354	3.82986794
355	3.829370994
356	3.829002167
357	3.828264535
358	3.82758067
359	3.827304789
360	3.826984469
361	3.82653669
362	3.82622689
363	3.825796861
364	3.825453
365	3.824985825
366	3.824426859
367	3.824125559
368	3.823339148
369	3.822989503
370	3.822323533
371	3.821637486
372	3.821077272
373	3.820668313
374	3.820403027
375	3.820106618
376	3.819604126
377	3.819162336
378	3.818872557
379	3.818290231
380	3.817899314
