iter	Passed	Remaining
0	122	48850
1	225	44834
2	322	42687
3	409	40566
4	501	39609
5	597	39245
6	688	38637
7	781	38313
8	877	38139
9	970	37868
10	1051	37182
11	1160	37531
12	1353	40306
13	1451	40022
14	1536	39437
15	1630	39127
16	1730	38976
17	1817	38575
18	1917	38441
19	2014	38270
20	2113	38137
21	2206	37903
22	2300	37706
23	2398	37581
24	2483	37255
25	2573	37012
26	2664	36813
27	2758	36643
28	2845	36404
29	2965	36568
30	3180	37852
31	3287	37811
32	3389	37698
33	3493	37609
34	3602	37573
35	3701	37428
36	3801	37294
37	3895	37107
38	3987	36910
39	4082	36740
40	4175	36558
41	4310	36737
42	4472	37132
43	4589	37133
44	4682	36936
45	4775	36751
46	4867	36561
47	4959	36371
48	5049	36169
49	5133	35935
50	5227	35772
51	5324	35632
52	5429	35548
53	5527	35415
54	5628	35304
55	5714	35101
56	5804	34928
57	5896	34771
58	5986	34601
59	6075	34430
60	6170	34290
61	6267	34165
62	6360	34021
63	6443	33829
64	6536	33688
65	6625	33531
66	6723	33414
67	6816	33281
68	6909	33144
69	6995	32978
70	7213	33425
71	7339	33433
72	7451	33378
73	7565	33330
74	7671	33241
75	7760	33083
76	7846	32914
77	7938	32770
78	8024	32605
79	8115	32462
80	8210	32333
81	8309	32224
82	8402	32090
83	8494	31954
84	8590	31834
85	8688	31722
86	8784	31604
87	8906	31576
88	9005	31468
89	9102	31352
90	9194	31219
91	9292	31108
92	9394	31012
93	9492	30900
94	9589	30788
95	9682	30659
96	9772	30525
97	9859	30383
98	9951	30256
99	10043	30129
100	10129	29988
101	10223	29869
102	10320	29758
103	10427	29678
104	10531	29588
105	10632	29489
106	10730	29384
107	10812	29233
108	10909	29125
109	11003	29010
110	11095	28887
111	11184	28761
112	11282	28654
113	11376	28541
114	11467	28418
115	11551	28280
116	11639	28153
117	11725	28021
118	11814	27898
119	11890	27745
120	11984	27633
121	12070	27505
122	12161	27387
123	12246	27257
124	12335	27138
125	12419	27007
126	12501	26873
127	12589	26753
128	12673	26624
129	12764	26510
130	12841	26370
131	12930	26252
132	13031	26160
133	13234	26270
134	13344	26194
135	13435	26079
136	13514	25943
137	13606	25831
138	13682	25690
139	13775	25583
140	13877	25491
141	13987	25413
142	14087	25318
143	14190	25227
144	14276	25107
145	14358	24979
146	14442	24857
147	14535	24749
148	14625	24637
149	14716	24528
150	14811	24424
151	14898	24308
152	14987	24195
153	15077	24085
154	15166	23973
155	15254	23859
156	15334	23734
157	15410	23603
158	15494	23485
159	15586	23379
160	15677	23272
161	15763	23159
162	15858	23057
163	15952	22956
164	16049	22858
165	16145	22758
166	16211	22618
167	16313	22528
168	16410	22431
169	16500	22324
170	16699	22363
171	16820	22296
172	16911	22190
173	17017	22103
174	17120	22012
175	17217	21913
176	17303	21800
177	17391	21690
178	17485	21587
179	17568	21472
180	17656	21363
181	17751	21262
182	17841	21156
183	17931	21050
184	18019	20942
185	18119	20847
186	18213	20746
187	18300	20636
188	18394	20536
189	18488	20434
190	18585	20337
191	18674	20230
192	18769	20130
193	18905	20074
194	19049	20025
195	19148	19929
196	19226	19812
197	19314	19705
198	19485	19680
199	19585	19585
200	19676	19480
201	19781	19389
202	19873	19285
203	19964	19181
204	20064	19085
205	20166	18991
206	20260	18890
207	20342	18777
208	20429	18670
209	20506	18553
210	20600	18452
211	20683	18341
212	20778	18242
213	20873	18142
214	20967	18042
215	21052	17933
216	21136	17824
217	21234	17727
218	21327	17626
219	21421	17526
220	21512	17424
221	21603	17321
222	21699	17223
223	21788	17119
224	21889	17025
225	21978	16921
226	22071	16821
227	22173	16727
228	22274	16633
229	22365	16530
230	22458	16430
231	22552	16331
232	22648	16232
233	22747	16136
234	22845	16040
235	22936	15938
236	23014	15828
237	23108	15729
238	23198	15627
239	23289	15526
240	23379	15424
241	23472	15324
242	23562	15223
243	23647	15118
244	23737	15017
245	23825	14914
246	23915	14813
247	24004	14712
248	24090	14609
249	24181	14508
250	24269	14406
251	24364	14309
252	24442	14201
253	24530	14100
254	24622	14000
255	24712	13900
256	24794	13796
257	24874	13690
258	24962	13589
259	25052	13489
260	25141	13389
261	25239	13294
262	25335	13197
263	25438	13104
264	25532	13007
265	25618	12905
266	25704	12804
267	25791	12703
268	25878	12602
269	26103	12568
270	26206	12474
271	26316	12384
272	26450	12304
273	26557	12212
274	26641	12109
275	26725	12007
276	26814	11906
277	26902	11805
278	26978	11700
279	27065	11599
280	27152	11498
281	27250	11402
282	27339	11302
283	27426	11202
284	27516	11103
285	27605	11003
286	27690	10902
287	27785	10805
288	27875	10706
289	27967	10608
290	28057	10509
291	28142	10408
292	28244	10314
293	28339	10217
294	28432	10119
295	28522	10021
296	28610	9922
297	28709	9826
298	28789	9724
299	28880	9626
300	29063	9558
301	29165	9464
302	29256	9365
303	29338	9264
304	29425	9165
305	29513	9066
306	29598	8966
307	29692	8869
308	29777	8769
309	29855	8667
310	29945	8569
311	30035	8471
312	30128	8374
313	30231	8279
314	30330	8184
315	30422	8087
316	30509	7988
317	30601	7891
318	30699	7795
319	30796	7699
320	30888	7601
321	30986	7506
322	31077	7408
323	31170	7311
324	31272	7216
325	31362	7119
326	31583	7050
327	31706	6959
328	31817	6866
329	31918	6770
330	32027	6676
331	32132	6581
332	32231	6485
333	32329	6388
334	32419	6290
335	32506	6191
336	32582	6091
337	32680	5994
338	32772	5897
339	32852	5797
340	32949	5700
341	33063	5607
342	33172	5512
343	33277	5417
344	33371	5320
345	33474	5224
346	33572	5127
347	33668	5030
348	33761	4933
349	33852	4836
350	33944	4738
351	33999	4636
352	34086	4538
353	34160	4438
354	34251	4341
355	34339	4244
356	34433	4147
357	34528	4050
358	34625	3954
359	34719	3857
360	34810	3760
361	34899	3663
362	34990	3566
363	35080	3469
364	35160	3371
365	35243	3273
366	35330	3176
367	35418	3079
368	35502	2982
369	35589	2885
370	35672	2788
371	35780	2693
372	35876	2596
373	35977	2501
374	36070	2404
375	36160	2308
376	36263	2212
377	36359	2116
378	36450	2019
379	36546	1923
380	36637	1827
381	36741	1731
382	36838	1635
383	36937	1539
384	36991	1441
385	37081	1344
386	37168	1248
387	37256	1152
388	37342	1055
389	37437	959
390	37526	863
391	37619	767
392	37707	671
393	37794	575
394	37876	479
395	37967	383
396	38067	287
397	38166	191
398	38252	95
399	38341	0
